# Region type : patch outlet
# Faces  :    15
# Area   :    2.728800e-05
# Time        	areaIntegrate(T)
0.1           	6.120722e-36
0.2           	3.086503e-29
0.3           	4.453583e-24
0.4           	5.067155e-20
0.5           	9.594331e-17
0.6           	4.548295e-14
0.7           	6.949018e-12
0.8           	4.055236e-10
0.9           	1.022556e-08
1             	1.701264e-07
1.1           	1.077496e-06
1.2           	3.578573e-06
1.3           	7.719049e-06
1.4           	1.227605e-05
1.5           	1.626419e-05
1.6           	1.949783e-05
1.7           	2.201936e-05
1.8           	2.385168e-05
1.9           	2.504864e-05
2             	2.575186e-05
2.1           	2.607306e-05
2.2           	2.621979e-05
2.3           	2.627259e-05
2.4           	2.628886e-05
2.5           	2.629349e-05
2.6           	2.629478e-05
2.7           	2.629514e-05
2.8           	2.629524e-05
2.9           	2.629526e-05
3             	2.629527e-05
3.1           	2.629527e-05
3.2           	2.629527e-05
3.3           	2.629527e-05
3.4           	2.629527e-05
3.5           	2.629527e-05
3.6           	2.629527e-05
3.7           	2.629527e-05
3.8           	2.629527e-05
3.9           	2.629527e-05
4             	2.629527e-05
4.1           	2.629527e-05
4.2           	2.629527e-05
4.3           	2.629527e-05
4.4           	2.629527e-05
4.5           	2.629527e-05
4.6           	2.629527e-05
4.7           	2.629527e-05
4.8           	2.629527e-05
4.9           	2.629527e-05
5             	2.629527e-05
5.1           	2.629527e-05
5.2           	2.629527e-05
5.3           	2.629527e-05
5.4           	2.629527e-05
5.5           	2.629527e-05
5.6           	2.629527e-05
5.7           	2.629527e-05
5.8           	2.629527e-05
5.9           	2.629527e-05
6             	2.629527e-05
6.1           	2.629527e-05
6.2           	2.629527e-05
6.3           	2.629527e-05
6.4           	2.629527e-05
6.5           	2.629527e-05
6.6           	2.629527e-05
6.7           	2.629527e-05
6.8           	2.629527e-05
6.9           	2.629527e-05
7             	2.629527e-05
7.1           	2.629527e-05
7.2           	2.629527e-05
7.3           	2.629527e-05
7.4           	2.629527e-05
7.5           	2.629527e-05
7.6           	2.629527e-05
7.7           	2.629527e-05
7.8           	2.629527e-05
7.9           	2.629527e-05
8             	2.629527e-05
8.1           	2.629527e-05
8.2           	2.629527e-05
8.3           	2.629527e-05
8.4           	2.629527e-05
8.5           	2.629527e-05
8.6           	2.629527e-05
8.7           	2.629527e-05
8.8           	2.629527e-05
8.9           	2.629527e-05
9             	2.629527e-05
9.1           	2.629527e-05
9.2           	2.629527e-05
9.3           	2.629527e-05
9.4           	2.629527e-05
9.5           	2.629527e-05
9.6           	2.629527e-05
9.7           	2.629527e-05
9.8           	2.629527e-05
9.9           	2.629527e-05
10            	2.629527e-05
