# Region type : patch outlet
# Faces  :    15
# Area   :    2.728800e-05
# Time        	areaIntegrate(T)
0.1           	0.000000e+00
0.2           	0.000000e+00
0.3           	0.000000e+00
0.4           	0.000000e+00
0.5           	0.000000e+00
0.6           	0.000000e+00
0.7           	0.000000e+00
0.8           	1.624904e-98
0.9           	2.958253e-63
1             	-3.776932e-52
1.1           	2.055698e-48
1.2           	-4.632892e-45
1.3           	1.907186e-38
1.4           	-1.877639e-38
1.5           	-3.574873e-36
1.6           	2.457085e-31
1.7           	2.279390e-28
1.8           	9.492881e-25
1.9           	4.338768e-22
2             	3.263529e-18
2.1           	3.749585e-15
2.2           	4.625855e-11
2.3           	-9.565110e-09
2.4           	4.494877e-01
2.5           	-1.314460e+00
2.6           	2.616415e+02
2.7           	1.719319e+06
2.8           	-2.271050e+09
2.9           	5.143310e+12
3             	-2.515063e+16
3.1           	1.691488e+19
3.2           	5.989988e+22
3.3           	3.796983e+25
3.4           	1.162183e+29
3.5           	5.275844e+32
3.6           	-1.373127e+36
3.7           	-3.637116e+42
3.8           	6.459112e+44
3.9           	1.167777e+46
4             	7.087124e+48
4.1           	1.439690e+52
4.2           	2.790864e+55
4.3           	-2.261876e+59
4.4           	-2.616294e+65
4.5           	2.150519e+68
4.6           	-6.998976e+69
4.7           	1.814123e+72
4.8           	-4.145618e+75
4.9           	-6.585883e+78
